Dataset,Window,Phase,N_Simul,Count,Pct,N_Total
SG_Small,2,Conjunction,7,0,0.0,151201
SG_Small,2,Opposition,7,0,0.0,151201
SG_Small,3,Conjunction,0,134552,88.9888,151201
SG_Small,3,Opposition,0,134338,88.8473,151201
SG_Small,3,Conjunction,1,15693,10.3789,151201
SG_Small,3,Opposition,1,15954,10.5515,151201
SG_Small,3,Conjunction,2,927,0.6131,151201
SG_Small,3,Opposition,2,886,0.586,151201
SG_Small,3,Conjunction,3,29,0.0192,151201
SG_Small,3,Opposition,3,23,0.0152,151201
SG_Small,3,Conjunction,4,0,0.0,151201
SG_Small,3,Opposition,4,0,0.0,151201
SG_Small,3,Conjunction,5,0,0.0,151201
SG_Small,3,Opposition,5,0,0.0,151201
SG_Small,3,Conjunction,6,0,0.0,151201
SG_Small,3,Opposition,6,0,0.0,151201
SG_Small,3,Conjunction,7,0,0.0,151201
SG_Small,3,Opposition,7,0,0.0,151201
SG_Small,4,Conjunction,0,129409,85.5874,151201
SG_Small,4,Opposition,0,129215,85.4591,151201
SG_Small,4,Conjunction,1,20202,13.361,151201
SG_Small,4,Opposition,1,20406,13.4959,151201
SG_Small,4,Conjunction,2,1511,0.9993,151201
SG_Small,4,Opposition,2,1525,1.0086,151201
SG_Small,4,Conjunction,3,79,0.0522,151201
SG_Small,4,Opposition,3,55,0.0364,151201
